,y1,y2
latent_0,0.1020248103475792,-0.12065105269842945
latent_1,0.07730321091770226,0.008544363278378764
latent_2,0.004231634294417899,-0.02554216413255861
latent_3,-0.04320535209250005,-0.020479688225339646
latent_4,-0.07551286894178091,0.14238403029849098
latent_5,0.026060054904758437,-0.055036221230424474
latent_6,-0.07774322275279007,0.02264566670746521
latent_7,-0.04337512441534022,-0.02526856691077121
latent_8,0.007009276751935471,0.006404577946618272
latent_9,-0.0006520651616202825,0.006081921665395407
latent_10,-0.012025672543453004,0.008064732754146825
latent_11,-0.054509307948983864,0.05507030304312195
latent_12,0.0382492976357269,0.06469311819203158
latent_13,0.002364387050973834,-0.06386985411005687
latent_14,0.024858608262831323,0.11277537543481198
latent_15,-0.10718586861583643,-0.002293092334288085
latent_16,0.020428501345126936,-0.015401445068952399
latent_17,-0.06701357229577838,0.06012273855016749
latent_18,-0.005760529755473086,0.057355271911578125
latent_19,-0.11720700674183104,0.018972165781746236
latent_20,0.05290693448129473,-0.10266207525173271
latent_21,-0.0385553728319399,0.031941608175593036
latent_22,-0.007432695815970615,0.07624762344526134
latent_23,0.0058816100963192276,0.03256082879818207
latent_24,-0.05800122725298043,-0.003409957520891419
latent_25,0.05157996649674149,-0.0652822831552206
latent_26,0.004634269272625291,-0.05626124435667045
latent_27,0.18391992262354206,-0.18299070815967933
latent_28,-0.06050274853740974,0.07034871410952384
latent_29,-0.05971031780744328,0.027019400007814377
latent_30,-0.05423911152659213,0.07324697966614024
latent_31,-0.007353815131023028,-0.002925467486737539
latent_32,-0.16631635012758597,0.12812559028814605
latent_33,-0.07572357722257181,0.026706457126060006
latent_34,-0.0284808010904098,0.16421794443168758
latent_35,0.16577924610032413,-0.043969213781426125
latent_36,0.07997622440281033,-0.05302643117573362
latent_37,-0.03435335996047204,0.09406729569088257
latent_38,-0.07507506586534758,0.02834545506444906
latent_39,0.09666613981793185,-0.1325020142877461
latent_40,-0.02236718855598613,0.00015089212648168186
latent_41,-0.028596641179944572,-0.058993401637203804
latent_42,0.12217442965707447,-0.13255402332770577
latent_43,-0.03959088825868625,-0.02718836890917653
latent_44,0.05992760690358621,-0.09521713839102121
latent_45,0.09744965409265809,-0.029310063788353918
latent_46,-0.044860898207112636,0.043564121937951596
latent_47,-0.1342082121029154,0.058835035669849794
latent_48,0.01933120671126777,0.035428504896829784
latent_49,-0.1317579400649071,0.11056929222146586
latent_50,-0.030720205017826123,-0.0019332765588769782
latent_51,-0.05539258209167165,0.059388042011196164
latent_52,-0.031340880801189235,0.10488765765215512
latent_53,0.04141193054719633,-0.0578885148164978
latent_54,-0.07997408861840093,0.02868791012495893
latent_55,0.014117795687197171,-0.01878236439083416
latent_56,-0.07282383909365173,0.04350922905868756
latent_57,-0.0667226841292805,0.03363266525122189
latent_58,0.03406581140831908,-0.010447946899281987
latent_59,0.010674239789769313,0.05058680984310614
latent_60,-0.07380535122531802,0.06064078603974939
latent_61,-0.1036373622085531,0.06104100418051015
latent_62,0.11134025789619642,-0.10842287348855369
latent_63,-0.1512181910696822,0.13450224348152778
