,Name,Rho Dose Metformin,Rho Serum Metformin
1,X12.13.DiHOME,-0.20098895,-0.228744764
2,X3.hydroxy.3.methylglutarate,0.264664449,0.252365335
3,X4.hydroxyphenylacetate,0.263434077,0.290312453
4,N6.N6.N6.trimethyllysine,-0.590992028,-0.616790843
5,arginine,-0.40742604,-0.395963417
6,deoxycholate,0.325541137,0.315270666
7,citrulline,-0.420851611,-0.459528256
8,lactose,0.416331223,0.419053641
9,malate,0.279077712,0.264063688
10,retinol..Vitamin.A.,0.242739368,0.236695788
11,alanine,0.383185526,0.40938392
12,X3.methyl.2.oxovalerate,0.415010007,0.373207038
13,N.acetylglutamate,0.209035631,0.209292995
14,X1.stearoyl.GPI..18.0.,-0.226020821,-0.228802301
15,maleate,0.284228562,0.3164341
16,X3.hydroxyoctanoate,0.398949081,0.430312101
17,homocitrulline,0.297969262,0.28054384
18,X3.hydroxydecanoate,0.325550726,0.344956688
19,X3.hydroxysebacate,0.394584085,0.366087421
20,X5.dodecenoate..12.1n7.,-0.216567968,-0.210304743
21,tauro.beta.muricholate,-0.268428337,-0.278346138
22,N.acetylisoleucine,0.316906962,0.292587254
23,erythronate.,0.376953199,0.358922105
24,orotidine,0.294770006,0.302172109
25,X3.hydroxydodecanedioate.,0.368085181,0.357224094
26,X3.4.dihydroxybutyrate,0.321339911,0.299067318
27,oleoyl.linoleoyl.glycerol..18.1.18.2...1.,0.279470955,0.263127044
28,oleoyl.linoleoyl.glycerol..18.1.18.2...2.,0.295684908,0.276618609
29,beta.citrylglutamate,0.252613637,0.256595864
30,prolylglycine,0.332677571,0.301923984
31,X.R..3.hydroxybutyrylcarnitine,0.42714288,0.391390803
32,X3.hydroxyadipate,0.431953489,0.464986908
33,sphingomyelin..d18.2.14.0..d18.1.14.1..,-0.254159358,-0.245061732
34,sphingomyelin..d18.1.24.1..d18.2.24.0..,-0.319798189,-0.314722926
35,dopamine.4.sulfate,0.237508339,0.220033678
36,sphingomyelin..d18.2.24.1..d18.1.24.2..,-0.404862639,-0.412977138
37,X1.stearoyl.2.arachidonoyl.GPE..18.0.20.4.,0.341991631,0.318674042
38,X1.palmitoyl.2.arachidonoyl.GPE..16.0.20.4..,0.320039651,0.291410299
39,X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,0.242464912,0.222599908
40,X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,0.33635874,0.319412806
41,lactosyl.N.palmitoyl.sphingosine..d18.1.16.0.,-0.410105134,-0.415862546
42,X1.oleoyl.2.arachidonoyl.GPE..18.1.20.4..,0.264138572,0.252089547
43,X.S..3.hydroxybutyrylcarnitine,0.519714507,0.492006955
44,palmitoloelycholine,-0.395531614,-0.350171297
45,dihomo.linolenoyl.choline,-0.387661682,-0.349558574
46,pimeloylcarnitine.3.methyladipoylcarnitine..C7.DC.,-0.406978951,-0.382242884
47,X2.3.dihydroxy.2.methylbutyrate,0.207501233,0.207945627
48,linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,0.304963994,0.291157747
49,oleoyl.arachidonoyl.glycerol..18.1.20.4...1..,0.351534694,0.334229868
50,oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,0.372635316,0.353552499
51,diacylglycerol..16.1.18.2..2...16.0.18.3..1...,0.240901,0.278238947
52,linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,0.22298648,0.236218084
53,lactosyl.N.nervonoyl.sphingosine..d18.1.24.1..,-0.41769057,-0.410410361
54,glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,-0.446247053,-0.427746446
55,glycosyl.N.tricosanoyl.sphingadienine..d18.2.23.0..,-0.356118771,-0.3199577
56,glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,-0.244487229,-0.210344514
57,sphingomyelin..d18.2.24.2..,-0.324287833,-0.352351253
58,sphingomyelin..d18.2.23.1..,-0.286309049,-0.288586135
59,N.N.N.trimethyl.5.aminovalerate,0.319284232,0.329057475
60,N.stearoylserine.,-0.323644398,-0.333344081
61,X2.hydroxyheptanoate.,0.324442804,0.299561157
62,gamma.glutamylcitrulline.,-0.456783154,-0.460989494
63,cholic.acid.glucuronide,-0.291399504,-0.280251983
64,X3.hydroxyhexanoylcarnitine..1.,0.277707557,0.268630114
65,dimethylguanidino.valeric.acid..DMGV..,0.336725519,0.37819897
66,taurochenodeoxycholic.acid.3.sulfate,-0.330395097,-0.333427489
67,branched.chain..straight.chain..or.cyclopropyl.10.1.fatty.acid..1..,-0.291855832,-0.278425385
68,X.11787,0.217372863,0.225024433
69,X.12101,0.252272396,0.245625267
70,X.12718,0.225870783,0.292282515
71,X.13507,0.257248864,0.277952533
72,X.15461,0.38348543,0.389122015
73,X.16397,-0.380855215,-0.429851671
74,X.16580,0.328342849,0.322554374
75,X.18886,0.32230795,0.330656039
76,X.18922,0.252335519,0.255060291
77,X.19438,0.236855889,0.203942916
78,X.21736,0.2741258,0.27991193
79,X.22834,0.226219348,0.246875505
80,X.23593,0.230328524,0.247834871
81,X.23648,0.311121405,0.331842709
82,X.23662,0.392565521,0.383460779
83,X.24410,0.276223461,0.30130364
84,X.24411,0.215642029,0.275849111
85,X.24519,0.316225653,0.312832096
86,X.24728,0.33508294,0.327558916
87,X.26107,0.360747487,0.359694797
88,X.26108,0.561016796,0.52083171
