,p,q,D
N6.N6.N6.trimethyllysine,1.22E-12,2.76E-10,-0.233171515
pro.hydroxy.pro,6.82E-13,2.31E-10,-0.235725918
phenylalanylalanine,2.42E-15,1.64E-12,-0.259045417
prolylglycine,1.10E-37,1.50E-34,0.408341365
X3.hydroxyadipate,7.44E-11,1.01E-08,0.214230211
sphingomyelin..d18.1.22.2..d18.2.22.1..d16.1.24.2..,9.59E-10,8.68E-08,-0.201493954
sphingomyelin..d18.2.24.1..d18.1.24.2..,5.84E-11,8.80E-09,-0.215394094
X.S..3.hydroxybutyrylcarnitine,8.90E-11,1.10E-08,0.213362176
sphingomyelin..d18.2.24.2..,1.90E-11,3.68E-09,-0.220712176
glycoursodeoxycholic.acid.sulfate..2.,1.77E-10,2.00E-08,0.210007952
isoursodeoxycholate.sulfate..1.,1.15E-12,2.76E-10,0.23342253
deoxycholic.acid.12.sulfate.,4.28E-10,4.47E-08,0.205597972
X.24410,4.15E-13,1.88E-10,0.237874577
X.26108,3.18E-11,5.40E-09,0.218283256
